,destiny,rejected
105,Venezuela (Bolivarian Republic of),20309.0
106,Portugal,645.0
107,Canada,184196.0
108,Sweden,439745.0
109,Svalbard and Jan Mayen,0.0
110,Malawi,4394.0
111,Turks and Caicos Islands,7.0
112,Kenya,26056.0
113,Costa Rica,12963.0
114,Armenia,390.0
115,Croatia,2094.0
116,The former Yugoslav Republic of Macedonia,745.0
117,Gabon,1861.0
118,Liechtenstein,561.0
119,Rep. of Korea,12638.0
120,Lao People's Dem. Rep.,3.0
121,Timor-Leste,26.0
122,India,11872.0
123,Italy,262601.0
124,United Kingdom,795869.0
125,Madagascar,1.0
126,Seychelles,0.0
127,Mongolia,9.0
128,French Polynesia,0.0
129,Myanmar,0.0
130,Western Sahara,0.0
131,Netherlands,206901.0
132,Monaco,2.0
133,Congo,2631.0
134,Algeria,5511.0
135,Bhutan,0.0
136,Palau,0.0
137,Austria,125759.0
138,Maldives,0.0
139,Bonaire,0.0
140,Czech Rep.,43878.0
141,Micronesia (Federated States of),41.0
142,Honduras,174.0
143,El Salvador,42.0
144,Sierra Leone,274.0
145,Cameroon,12997.0
146,Dominica,0.0
147,Albania,64.0
148,Rep. of Moldova,786.0
149,Ethiopia,4173.0
150,Sint Maarten (Dutch part),6.0
151,Morocco,9192.0
152,Vanuatu,1.0
153,Curaçao,21.0
154,Nigeria,2294.0
155,Gambia,3.0
156,Pakistan,27547.0
157,Burkina Faso,376.0
158,Bermuda,0.0
159,Swaziland,93.0
160,Dem. People's Rep. of Korea,0.0
161,Dem. Rep. of the Congo,1199.0
162,Viet Nam,0.0
163,Mauritania,2139.0
164,Belarus,1481.0
165,Cook Islands,0.0
166,"China, Hong Kong SAR",7767.0
167,Zambia,2454.0
168,Peru,1201.0
169,Rwanda,1313.0
170,Brazil,6133.0
171,Samoa,0.0
172,Kuwait,542.0
173,Cuba,215.0
174,Paraguay,48.0
175,Suriname,4.0
176,Saint Vincent and the Grenadines,0.0
177,Belgium,194487.0
178,Solomon Islands,0.0
179,Guatemala,109.0
180,Lesotho,0.0
181,Djibouti,1924.0
182,Sao Tome and Principe,0.0
183,Chile,1940.0
184,Israel,9191.0
185,France,1115911.0
186,Uruguay,77.0
187,South Africa,618821.0
188,Montenegro,1568.0
189,Brunei Darussalam,0.0
190,Comoros,0.0
191,Thailand,10961.0
192,Equatorial Guinea,0.0
193,Ukraine,12662.0
194,Wallis and Futuna Islands ,0.0
195,Puerto Rico,0.0
196,Switzerland,170201.0
197,Nicaragua,2.0
198,Stateless,0.0
199,Greece,181829.0
200,Botswana,1481.0
201,South Sudan,139.0
202,Liberia,902.0
203,United States of America,458969.0
204,Argentina,5765.0
205,Gibraltar,0.0
206,Slovakia,6934.0
207,Philippines,44.0
208,Cyprus,45442.0
209,Niue,0.0
210,Fiji,5.0
211,Zimbabwe,1315.0
212,Haiti,2.0
213,Saudi Arabia,638.0
214,Mali,459.0
215,Singapore,53.0
216,Spain,36609.0
217,Iraq,648.0
218,Qatar,78.0
219,Benin,7875.0
220,Egypt,31786.0
221,Luxembourg,15867.0
222,Bosnia and Herzegovina,1576.0
223,Panama,894.0
224,Nauru,341.0
